Author
Mark P. O. Morford
Robert J. Lenardon
Richard Bruce Wright
Carlo D'Este
Gina Kolata
Elizabeth Wayland Barber
E. J. W. Barber
Amy Tan
Robert Cowley
Scott Turow
Stacy Keach
David Cordingly
Ann Beattie
David Adams Richards
Kensington
Sheila Heti
J. R. Kaiser
Jack Canfield
Mark Victor Hansen
Jennifer Read Haw
Loren D. Estleman
John Kenneth
Robert Hendrickson
Julia Oliver
John Grisham
Toni Morrison
The Onion
Scott Dikkers
Mike Loew
Celia Brooks Brown
Jane Noraika
Philip Webb
J. R. Parrish
Mary-kate &amp
Ashley Olsen
Robynn Clairday
Kathleen Duey
Karen A. Bale
Bill Dodge
Rich Shapero
Michael Crichton
C.S. Lewis
Arthur Phillips
Stephen Jaramillo
Mordecai Richler
Michael Panofsky
Anette Grube
Eleanor Cooney
Daniel Altieri
Charlotte Link
Richard North Patterson
Kristian Lutze
Mark Salzman
Harper Lee
Laura Hillenbrand
Barbara Kingsolver
Jo Dereske
Jane Austen
Dolores Krieger
Anne Rivers Siddons
Dean Koontz
Mary Higgins Clark
Patricia Cornwell
J.D. Robb
Maeve Binchy
Laura J. Mixon
Tim LaHaye
Jerry B. Jenkins
Bernie S. Siegel M.D.
Robert Penn Warren
Hans Johannes Hoefer
Mark Helprin
O. Carl Simonton M.D.
James Creighton Ph.D.
Stepha
Chuck Hill
David Iglehart
Larry McMurtry
Suzanne Fisher Staples
Michel Tournier
Carl Sagan
Aleksandr Zinoviev
Anne Tyler
Joseph Conrad
Deepak Chopra
Martin Greenberg
Thomas Hardy
Charles Noland
Sherri Baker
Valerie Frankel
Benjamin Hoff
Niccolo Machiavelli
H. Jackson Brown Jr.
Robert A. Heinlein
Philip Pullman
Michael Ondaatje
Sandra Levy Ceren
P. J. O'Rourke
Mike Gayle
Stel Pavlou
Sarah Payne Stuart
Dan Quayle
Donald F. Kettl
Donald Kettl
David Frum
Louis L'Amour
J.D. Salinger
John Berendt
Jennifer Crusie
Jane Heller
Michael Rips
Simon Mawer
William Abrahams
Robert T. Kiyosaki
Sharon L. Lechter
Ken Follett
John F. Love
Robert G. Allen
Louis De Bernieres
Pam Proctor
Allen M. Schoen
Mitch Albom
Michael Jan Friedman
Ronald D. Moore
Glendon Swarthout
Neal Barrett Jr.
J. Michael Straczynski
David Morrell
Sandra Brown
James Patterson
Peter De Jonge
Stuart Woods
Iris Johansen
Dan Brown
Joe Hutsko
Anita Shreve
Ann Rule
Lewis Grizzard
Paul Theroux
Charles Hickey
Todd Lighty
John O'Brien
Stephen King
Ben Mezrich
Bill Hand
Tom Clancy
Dana Reeve
Roy
Barbara Metzger
Gabriel Garcia Marquez
Rebecca Wells
Tony Hillerman
Robert James Waller
Rachel Harris
Ian McEwan
Michael Lewis
Richard Zimler
Norman Jetmundsen
Lorenzo Carcaterra
Anne Frasier
Kay Hooper
Daphne Du Maurier
Nathaniel Hawthorne
Leo Marx
Nick Page
Laura Wolf
Lois Duncan
Susan Grant
Barbara Vine
Shirley Rousseau Murphy
Jane Lindskold
Betty Smith
Cybill Shepherd
Aimee Lee Ball
Stewart O'Nan
David Baldacci
Douglas Adams
Mary Lawson
Willa Cather
Olivia Goldsmith
Helen Fielding
Dover Thrift Editions
Franklin W. Dixon
Lilian Jackson Braun
Holly Virden
Michelle McKinney Hammond
H. Norman Wright
Piers Anthony
Ray Bradbury
Friedrich Schiller
Walter Schafarschik
Peter Naujack
Raymond Chandler
Hans Wollschl�ger
Thomas Schl�ck
Norbert W�lfl
Alexander Schmitz
J�rgen Bauer
Alastair Ker
Paulo Coelho
Maralde Meyer-Minnemann
Gabriel Garc�a M�rquez
Fay Weldon
Arabella Weir
Kiana Davenport
Margarete L�ngsfeld
Sue Townsend
Renan Demirkan
Michael Moore
Helmut Dierlamm
Heike Schlatterer
Jonathan Franzen
Bettina Abarbanell
J. D. Salinger
Annemarie B�ll
Heinrich B�ll
Elisab
James Joyce
Joanna Trollope
Antoinette Gittinger
Milan Kundera
Arundhati Roy
Robert S. Levinson
Lorna Landvik
Arthur Golden
Kent Haruf
Patricia D Cornwell
Patricia D. Cornwell
Carol J. Farley
Tom Newsom
Kathleen E. Woodiwiss
Belva Plain
Mark Haddon
Ann Brashares
Erich Segal
Elizabeth Adler
Nicholas Sparks
John Saul
Steve Thayer
Tracy Chevalier
Judith Kelman
Michael Palmer
Francine Hughes
Norman Bridwell
Frank McCourt
Malachy Mccourt
Mari Sandoz
Anne Perry
Alexander Mccall Smith
Barbara Bergman
Gregory Maguire
Yann Martel
Ruth Rendell
Al Franken
Donna Tartt
John Milne
Terry Pratchett
E. B. White
Garth Williams
J. M. Barrie
Mary O'Hara
Paul Kidby
Louise Rennison
Kenneth Grahame
Bernard Cornwell
Charles De Lint
Lord Dunsany
Neil Gaiman
Georgette Heyer
Oscar Wilde
Jeffrey Eugenides
Ted Hughes
Andrew Davidson
Roald Dahl
Quentin Blake
Donna Jo Napoli
A.S. Byatt
Tanuja Desai Hidier
Sophie Kinsella
Isabel Wolff
Louisa May Alcott
Margaret Drabble
George Orwell
Charles Dickens
Isabel Allende
Ellen Datlow
Terri Windling
Charles Vess
Neil Gaim
Joseph Heller
John Galsworthy
Enid Blyton
Alan Moore
Kevin O'Neill
Ben Dimagmaliw
Sam Kieth
Mike Dringenberg
Malcolm Jon
John Bolton
Trudy Suggs
Tom Wolfe
Brady Udall
Homer Hickam
Pearl Abraham
Sebastian Junger
Karen Armstrong
Mary Barnard
Dudley Fitts
David Brin
T. C. Boyle
T. Coraghessan Boyle
Plato
Alexander Nehamas
Paul Woodruff
Lynda Madaras
Dane Saavedra
Jackie Aher
Stephen Mccauley
Isabelle Holland
Pam Conrad
Lurlene Mcdaniel
Brian Kaufman
John Darnton
Martin Schenk
David Eddings
Leigh Eddings
Paul Reiser
David G. Hartwell
Kathryn Cramer
Dave Barry
John R. Holt
Theodore Beale
Frank M. Robinson
Mary Jane Clark
Mary Shelley
Robert Westall
Robert B. Parker
Rita Chapman Works
Mark Carwardine
A. Manette Ansay
